Nsnp,Nsnpeff,Ngenes,effsize,power,nrun,cluster,nsub,PhenoCorr
20,0,1,0.1,0.05,100,0,100,0
20,5,1,0.1,0.13,100,0,100,0
20,10,1,0.1,0.47,100,0,100,0
40,0,1,0.1,0.07,100,0,100,0
40,5,1,0.1,0.1,100,0,100,0
40,10,1,0.1,0.27,100,0,100,0
20,0,1,0.15,0.04,100,0,100,0
20,5,1,0.15,0.64,100,0,100,0
20,10,1,0.15,0.97,100,0,100,0
40,0,1,0.15,0.01,100,0,100,0
40,5,1,0.15,0.21,100,0,100,0
40,10,1,0.15,0.5,100,0,100,0
20,0,1,0.2,0.02,100,0,100,0
20,5,1,0.2,0.84,100,0,100,0
20,10,1,0.2,1,100,0,100,0
40,0,1,0.2,0.07,100,0,100,0
40,5,1,0.2,0.48,100,0,100,0
40,10,1,0.2,0.82,100,0,100,0
20,0,1,0.1,0.04,100,0,100,0.5
20,5,1,0.1,0.16,100,0,100,0.5
20,10,1,0.1,0.91,100,0,100,0.5
40,0,1,0.1,0.05,100,0,100,0.5
40,5,1,0.1,0.15,100,0,100,0.5
40,10,1,0.1,0.24,100,0,100,0.5
20,0,1,0.15,0.05,100,0,100,0.5
20,5,1,0.15,0.49,100,0,100,0.5
20,10,1,0.15,1,100,0,100,0.5
40,0,1,0.15,0.04,100,0,100,0.5
40,5,1,0.15,0.42,100,0,100,0.5
40,10,1,0.15,0.7,100,0,100,0.5
20,0,1,0.2,0.06,100,0,100,0.5
20,5,1,0.2,0.99,100,0,100,0.5
20,10,1,0.2,1,100,0,100,0.5
40,0,1,0.2,0.05,100,0,100,0.5
40,5,1,0.2,0.78,100,0,100,0.5
40,10,1,0.2,0.99,100,0,100,0.5
20,0,1,0.1,0.04,100,0,100,0.75
20,5,1,0.1,0.42,100,0,100,0.75
20,10,1,0.1,0.81,100,0,100,0.75
40,0,1,0.1,0.06,100,0,100,0.75
40,5,1,0.1,0.18,100,0,100,0.75
40,10,1,0.1,0.5,100,0,100,0.75
20,0,1,0.15,0.05,100,0,100,0.75
20,5,1,0.15,0.99,100,0,100,0.75
20,10,1,0.15,1,100,0,100,0.75
40,0,1,0.15,0.07,100,0,100,0.75
40,5,1,0.15,0.41,100,0,100,0.75
40,10,1,0.15,0.87,100,0,100,0.75
20,0,1,0.2,0.06,100,0,100,0.75
20,5,1,0.2,1,100,0,100,0.75
20,10,1,0.2,1,100,0,100,0.75
40,0,1,0.2,0.07,100,0,100,0.75
40,5,1,0.2,0.92,100,0,100,0.75
40,10,1,0.2,1,100,0,100,0.75
