Nsnp,Nsnpeff,Ngenes,effsize,power,nsub,cluster,nrun,PhenoCorr
20,0,1,0.1,0.04,100,0,100,0
20,5,1,0.1,0.84,100,0,100,0
20,10,1,0.1,1,100,0,100,0
40,0,1,0.1,0.05,100,0,100,0
40,5,1,0.1,0.59,100,0,100,0
40,10,1,0.1,0.96,100,0,100,0
20,0,1,0.15,0.06,100,0,100,0
20,5,1,0.15,1,100,0,100,0
20,10,1,0.15,1,100,0,100,0
40,0,1,0.15,0.04,100,0,100,0
40,5,1,0.15,1,100,0,100,0
40,10,1,0.15,1,100,0,100,0
20,0,1,0.2,0.04,100,0,100,0
20,5,1,0.2,1,100,0,100,0
20,10,1,0.2,1,100,0,100,0
40,0,1,0.2,0.04,100,0,100,0
40,5,1,0.2,1,100,0,100,0
40,10,1,0.2,1,100,0,100,0
20,0,1,0.1,0.07,100,0,100,0.5
20,5,1,0.1,0.91,100,0,100,0.5
20,10,1,0.1,0.99,100,0,100,0.5
40,0,1,0.1,0.08,100,0,100,0.5
40,5,1,0.1,0.6,100,0,100,0.5
40,10,1,0.1,1,100,0,100,0.5
20,0,1,0.15,0.04,100,0,100,0.5
20,5,1,0.15,1,100,0,100,0.5
20,10,1,0.15,1,100,0,100,0.5
40,0,1,0.15,0.09,100,0,100,0.5
40,5,1,0.15,1,100,0,100,0.5
40,10,1,0.15,1,100,0,100,0.5
20,0,1,0.2,0.11,100,0,100,0.5
20,5,1,0.2,1,100,0,100,0.5
20,10,1,0.2,1,100,0,100,0.5
40,0,1,0.2,0.04,100,0,100,0.5
40,5,1,0.2,1,100,0,100,0.5
40,10,1,0.2,1,100,0,100,0.5
20,0,1,0.1,0.06,100,0,100,0.75
20,5,1,0.1,0.93,100,0,100,0.75
20,10,1,0.1,1,100,0,100,0.75
40,0,1,0.1,0.04,100,0,100,0.75
40,5,1,0.1,0.74,100,0,100,0.75
40,10,1,0.1,0.99,100,0,100,0.75
20,0,1,0.15,0.07,100,0,100,0.75
20,5,1,0.15,1,100,0,100,0.75
20,10,1,0.15,1,100,0,100,0.75
40,0,1,0.15,0.03,100,0,100,0.75
40,5,1,0.15,1,100,0,100,0.75
40,10,1,0.15,1,100,0,100,0.75
20,0,1,0.2,0.04,100,0,100,0.75
20,5,1,0.2,1,100,0,100,0.75
20,10,1,0.2,1,100,0,100,0.75
40,0,1,0.2,0.04,100,0,100,0.75
40,5,1,0.2,1,100,0,100,0.75
40,10,1,0.2,1,100,0,100,0.75
