"","nsnpeff","nsnp","ngenes","nsub","cluster","gpcorr","phenCorr"
"1",0,20,1,100,0,0.1,0
"2",5,20,1,100,0,0.1,0
"3",10,20,1,100,0,0.1,0
"4",0,40,1,100,0,0.1,0
"5",5,40,1,100,0,0.1,0
"6",10,40,1,100,0,0.1,0
"7",0,20,1,100,0,0.15,0
"8",5,20,1,100,0,0.15,0
"9",10,20,1,100,0,0.15,0
"10",0,40,1,100,0,0.15,0
"11",5,40,1,100,0,0.15,0
"12",10,40,1,100,0,0.15,0
"13",0,20,1,100,0,0.2,0
"14",5,20,1,100,0,0.2,0
"15",10,20,1,100,0,0.2,0
"16",0,40,1,100,0,0.2,0
"17",5,40,1,100,0,0.2,0
"18",10,40,1,100,0,0.2,0
"19",0,20,1,100,0,0.1,0.5
"20",5,20,1,100,0,0.1,0.5
"21",10,20,1,100,0,0.1,0.5
"22",0,40,1,100,0,0.1,0.5
"23",5,40,1,100,0,0.1,0.5
"24",10,40,1,100,0,0.1,0.5
"25",0,20,1,100,0,0.15,0.5
"26",5,20,1,100,0,0.15,0.5
"27",10,20,1,100,0,0.15,0.5
"28",0,40,1,100,0,0.15,0.5
"29",5,40,1,100,0,0.15,0.5
"30",10,40,1,100,0,0.15,0.5
"31",0,20,1,100,0,0.2,0.5
"32",5,20,1,100,0,0.2,0.5
"33",10,20,1,100,0,0.2,0.5
"34",0,40,1,100,0,0.2,0.5
"35",5,40,1,100,0,0.2,0.5
"36",10,40,1,100,0,0.2,0.5
"37",0,20,1,100,0,0.1,0.75
"38",5,20,1,100,0,0.1,0.75
"39",10,20,1,100,0,0.1,0.75
"40",0,40,1,100,0,0.1,0.75
"41",5,40,1,100,0,0.1,0.75
"42",10,40,1,100,0,0.1,0.75
"43",0,20,1,100,0,0.15,0.75
"44",5,20,1,100,0,0.15,0.75
"45",10,20,1,100,0,0.15,0.75
"46",0,40,1,100,0,0.15,0.75
"47",5,40,1,100,0,0.15,0.75
"48",10,40,1,100,0,0.15,0.75
"49",0,20,1,100,0,0.2,0.75
"50",5,20,1,100,0,0.2,0.75
"51",10,20,1,100,0,0.2,0.75
"52",0,40,1,100,0,0.2,0.75
"53",5,40,1,100,0,0.2,0.75
"54",10,40,1,100,0,0.2,0.75
